,cut1,cut2,cut3,cut4,cut5,cut6,cut7,w1,w2,w3,w4,w5,w6,w7
Br;C+,3.4334216,3.4708002,3.7854939,3.9483588,3.97612,4.1342826,4.129812,-0.21045259,-0.120847106,0.11409831,0.25168067,-0.038947795,1.7265898,0.6803339
Br;C1,3.5916946,3.807568,4.2874947,4.24809,4.3316655,4.4775,4.6975884,2.396603,-0.29268953,-0.9232386,-0.3250894,-0.08351709,0.20815,-0.029521147
Br;C2,3.363562,3.6648133,3.824254,4.1870623,4.324019,4.5204186,4.689655,0.20434655,-0.61338973,-0.4656171,-0.16644366,0.7758336,1.6974237,0.27605
Br;C3,2.8839326,3.3695233,3.6061025,3.843156,4.250985,4.4981456,4.500113,-1.4952377,0.056058493,0.58783543,0.031511765,-0.0157576,0.15941873,0.018435147
Br;Cac,3.9028604,3.9405534,4.1851096,4.284154,4.407003,4.5225,4.9648676,-0.89803404,-0.35840282,-0.47404754,0.103165045,0.46764126,0.23783612,1.1756968
Br;Car,3.7201824,3.7954428,3.9581203,4.251043,4.500573,4.5012584,4.8276014,-0.18768056,-0.23252983,-0.6066113,-0.49124727,-0.11854952,-0.32913125,-0.52580035
Br;HO,3.2691789,3.475942,3.8742533,4.098313,4.245864,4.500465,4.750663,-0.87273794,1.848108,1.3932067,2.1346285,1.2419463,-0.07561678,-2.3387754
Br;N2,3.664333,3.7803154,4.0406623,4.3149457,4.4493937,4.615633,4.856328,1.0089298,0.36785468,-0.53484535,1.6927395,0.19359344,0.5723877,-0.7771998
Br;N3+,3.8960543,4.0365767,4.175,4.34,4.4369392,4.674299,4.9319587,-0.10912207,-0.9641742,-0.8067298,0.0,0.15171425,0.8586676,-1.1429057
Br;Nam,3.3100858,3.747806,3.8952231,4.007608,4.302303,4.573897,4.700821,-1.3754312,-0.032776095,0.256209,-0.35361448,-0.7441476,0.026015384,-0.27095416
Br;Nar,4.4726486,4.482349,4.3019648,4.3855014,4.589662,4.5973873,4.5132113,-1.133319,-0.8248527,-0.45174354,-0.6253059,-0.7430646,-0.3537459,0.14729165
Br;Ng+,3.4404502,3.5754702,3.7010686,3.9233172,4.182112,4.34906,4.5954714,-2.558766,-1.0302321,0.4525051,0.81901306,2.1168437,0.40735936,0.5087982
Br;O.co2,3.2583425,3.631736,3.82,4.028362,4.41417,4.390925,4.604623,-0.20537814,0.15219408,-0.08929543,0.031994026,1.4680836,1.0666696,-0.14219376
Br;O2,2.97722,3.2823553,3.579811,3.925664,4.238698,4.5927124,4.546947,-0.20127368,-0.9200919,-0.07550757,-1.277502,0.12565511,-0.8515567,-0.4466392
Br;O3,3.7845774,3.856065,4.070894,4.197595,4.429705,4.641465,4.7508826,-0.66132635,0.2555959,1.1129651,0.5292505,0.22313842,1.3255693,0.8701042
Br;S3,3.3815095,3.6461058,3.8650897,4.1349893,4.279956,4.539664,4.7334294,-1.5453038,0.18815473,0.59659696,-0.101393506,0.037155405,-0.040686797,0.8587981
C+;C+,3.457021,3.747973,4.0073824,4.012787,4.336923,4.5784893,4.57894,-0.3547528,-2.401255,-0.25979874,0.12256756,0.48366728,-1.189204,-0.12601563
C+;C-,3.662008,3.8714788,3.753964,4.216801,4.416011,4.5516553,4.794565,0.5695105,-0.76323754,-0.16768788,-0.34247944,0.107310176,-0.01955961,0.48256055
C+;C1,3.6938095,3.8908746,4.0174747,4.28025,4.363373,4.5408754,4.735118,0.06207083,-2.1915998,0.9983873,-0.44823703,0.44276232,0.27515534,-0.21471205
C+;C2,3.5371404,3.841675,3.9687839,4.0731554,4.310324,4.7135797,4.7115297,-1.8190941,-0.42378262,-0.61068225,-0.10928866,0.12970577,0.19804478,0.11511207
C+;C3,3.1946006,3.5651226,3.7359447,3.9747944,4.4438696,4.5294933,4.750608,2.5844457,0.32359654,-0.023850638,0.14023146,0.007555135,-0.016945302,0.1707437
C+;Ca,4.8592486,4.858486,4.938028,4.7769585,4.777831,4.7905827,4.932817,-1.7246238,-1.8972147,-1.9280082,-2.1086156,-2.1212583,-2.0198405,-2.0058103
C+;Cac,3.6537557,3.7599456,4.128656,4.15891,4.402056,4.7686644,5.177308,-1.4836553,-0.24373993,-0.08086804,-0.123991005,-0.27639952,0.19947778,-0.83999044
C+;Car,3.1148384,3.3549283,3.7580113,3.990374,4.176898,4.397649,4.6460843,-2.1345868,0.41171753,0.119730875,-0.30636135,0.0069276365,0.23490784,0.120104834
