,cut1,cut2,cut3,cut4,cut5,w1,w2,w3,w4,w5
Br;C+,3.601846,3.5591197,3.9874387,4.0022154,4.1637526,-0.8964779,0.24853769,0.18366927,0.41798404,1.8815546
Br;C1,3.588915,3.8082662,4.1814,4.35,4.605,3.0293207,-1.6602366,-0.8901143,-0.46539962,0.0
Br;C2,3.3588102,3.864452,4.180521,4.3138885,4.52333,0.4213162,-0.40811896,-0.18755479,0.80122805,1.8424765
Br;C3,2.863031,3.6004744,3.8793128,4.285644,4.523673,-0.77493566,0.54044455,0.15340295,-0.06306174,0.12850252
Br;Cac,3.859572,4.122723,4.1508594,4.457395,4.615,-1.1527323,-1.0353427,-0.12265699,0.97467977,0.052425593
Br;Car,3.6254406,3.847958,4.283236,4.510693,4.8215175,0.054244045,-0.037047476,-0.4361181,-0.20871596,-0.67709416
Br;HO,3.2577736,3.6056685,4.032214,4.2896028,4.7580624,-1.2331661,2.1795483,2.0271716,1.0668104,-0.74390584
Br;N2,3.6478786,4.0421786,4.277656,4.4623556,4.5852475,0.7283854,-0.101773866,2.4067676,-0.25788316,0.36516732
Br;N3+,3.9017065,4.151356,4.34,4.657082,4.871428,-0.5336445,-1.546299,-0.08116623,0.6185321,-1.6140774
Br;Nam,3.3003168,3.8980143,4.236456,4.5631685,4.736444,-1.2421806,0.26265398,-0.61543983,0.023213021,-0.24056602
Br;Nar,4.6001277,4.600715,4.696822,4.614881,4.6529775,-1.060563,-0.8559691,-0.60270184,-0.40600345,0.630383
Br;Ng+,3.4730384,3.6129808,3.9412482,4.1857953,4.602776,-2.949681,-0.21256068,0.9173222,2.2708812,0.23067789
Br;O.co2,3.4695954,3.7466667,3.9928186,4.3846207,4.6640263,-0.1796072,-0.36988172,-0.047271665,2.0305936,-0.7089352
Br;O2,3.0520732,3.226875,3.9501638,4.247507,4.5833945,-0.2856363,-1.13364,-0.61910725,0.034649394,-0.8895512
Br;O3,3.7907495,4.2408843,4.2113028,4.4452252,4.5929136,-1.3558692,0.8033932,0.53094834,0.07239596,0.809654
Br;S3,3.3953826,3.8334758,4.001674,4.532651,4.7435513,-1.6532097,0.8271718,0.23082387,-0.22875579,0.6485575
C+;C+,3.7675421,3.9291785,4.0853925,4.3129005,4.6239047,-2.1446493,0.58820087,0.12817658,0.6992643,-0.5360735
C+;C-,3.671564,3.8638296,4.207562,4.58914,4.77826,1.0796857,-0.96683437,-0.44125327,0.12788165,0.3286489
C+;C1,3.8762836,3.8931553,4.3070817,4.5226655,4.6594796,-0.17369041,-0.01296355,0.60071886,0.9822678,0.45367053
C+;C2,3.5820553,3.8236923,4.032685,4.731213,5.175097,-1.06769,-0.3305275,-0.5139954,0.09681392,-0.2683016
C+;C3,3.5505416,3.7034745,3.948506,4.530892,4.762484,0.5518044,-0.039316185,0.12892477,-0.0068952446,0.18345855
C+;Ca,4.9058256,4.897655,4.912069,4.7217913,4.8748636,-1.2441492,-2.3502338,-2.3961008,-2.4513204,-2.1272304
C+;Cac,3.6886978,4.0790353,4.2090425,4.408723,4.6282554,-1.1855996,0.19819652,0.13773839,-0.058102947,0.39028287
C+;Car,3.1077118,3.7682226,3.9602387,4.168869,4.660067,-2.1100771,0.15390113,-0.33341515,-0.044684812,0.14496256
C+;Cl,3.7397652,4.16236,4.167727,4.4960885,4.6195583,1.9268595,0.4365736,0.55990165,-0.32076788,-1.2021083
C+;F,3.2317483,3.4848282,3.7821443,4.4261746,4.707338,1.5431222,-0.5567482,-1.0199676,0.20260842,-0.63915
C+;HO,2.7954066,3.23337,3.7330158,3.9263303,4.80228,-1.2061479,0.16319716,-0.15900332,-0.44940227,-0.21882021
C+;I,5.0182815,4.488874,4.4870443,4.815743,5.021437,0.33029455,-0.0049710297,0.01225391,0.3109068,0.39512438
C+;Mn,3.3566666,3.715349,3.7850382,3.9906595,4.115552,0.19109258,-0.43866658,-0.5970043,-0.1799198,0.19135675
C+;N1,3.8599536,4.0792947,4.3417845,4.3857694,4.531215,-0.14886086,-0.84586525,-0.07411385,-0.6228807,-1.3334153
C+;N2,3.519298,3.8699172,4.186636,4.1856284,4.6535435,1.9198599,-0.0601636,0.6747269,0.1263728,-0.37639546
C+;N3,3.8433332,4.0951915,4.2560964,4.449853,4.5901604,-1.6074035,0.25997606,-0.20242983,-1.8139362,-0.4488221
C+;N3+,3.5847037,3.8727279,4.0216126,4.5550513,4.735036,3.3073168,-1.8304925,1.3818935,1.9876226,1.1153488
C+;Na,4.7982416,4.853609,4.5396266,4.752839,4.7410316,-0.73990643,-0.019776728,0.14860737,-0.11764871,-0.10148506
C+;Nam,3.3283298,3.6770313,4.2552156,4.4343257,4.818902,0.24737251,0.24956599,-0.6906349,-0.09259423,-0.44278273
C+;Nar,3.4252226,3.7644928,3.9672763,4.233521,4.887916,2.0096457,0.6069181,-0.51489204,0.2186291,-0.5768566
C+;Ng+,3.215112,3.7549922,4.145907,4.43849,4.873416,-0.7610856,-1.4885798,-0.79981196,-0.55430084,0.27870265
C+;Npl,3.671487,4.028972,4.07193,4.490185,4.5683174,-0.70437145,0.6919621,-0.02749076,-0.96329755,0.14802417
C+;Ntr,4.2252336,4.4401045,4.536767,4.552317,4.8777766,1.4721417,0.19839203,-0.5316758,-0.83076996,-0.19126546
C+;O.co2,3.2496693,3.8684893,3.9800909,4.182258,4.528577,0.2888985,-0.30739722,-0.1350869,0.17527035,-0.4144913
C+;O2,2.7687135,3.4499764,3.7762823,4.2060785,5.1747847,0.25414413,0.08934494,-0.12922558,-0.025758745,-0.1353893
C+;O3,2.8862565,3.399577,3.559959,4.2569156,4.5165167,-1.855383,0.51023406,-0.43712613,-0.055758644,0.12460558
C+;P,4.095939,4.211366,4.513166,4.7147956,5.1657963,-0.29357877,-0.7764431,0.28167236,0.98732954,0.6431514
C+;Pac,3.547857,3.7707613,4.0996866,4.2766438,4.8677616,0.5921039,-0.322767,0.49046448,0.037962995,-0.16122118
C+;S2,4.0187597,4.015719,4.2079554,4.189209,4.4688063,1.4381446,-0.105275795,-0.9134711,-1.09821,0.7061928
