	#code	score
0	1a30	5.1
1	1bcu	3.39
2	1bzc	4.42
3	1c5z	5.41
4	1e66	9.97
5	1g2k	8.49
6	1gpk	5.02
7	1gpn	6.73
8	1k1i	6.93
9	1lpg	8.13
10	1mq6	10.07
11	1nc1	5.83
12	1nc3	7.62
13	1nvq	8.3
14	1o0h	6.62
15	1o3f	7.61
16	1o5b	7.43
17	1owh	7.87
18	1oyt	6.92
19	1p1n	6.96
20	1p1q	6.19
21	1ps3	4.27
22	1pxn	5.54
23	1q8t	5.56
24	1q8u	7.05
25	1qf1	6.45
26	1qkt	5.59
27	1r5y	6.3
28	1s38	5.63
29	1sqa	8.55
30	1syi	7.83
31	1u1b	7.61
32	1uto	4.11
33	1vso	5.58
34	1w4o	4.96
35	1y6r	8.1
36	1yc1	7.55
37	1ydr	5.93
38	1ydt	6.99
39	1z6e	9.59
40	1z95	7.98
41	1z9g	5.92
42	2al5	7.47
43	2br1	6.53
44	2brb	6.32
45	2c3i	7.79
46	2cbv	7.39
47	2cet	8.14
48	2fvd	7.72
49	2fxs	5.29
50	2hb1	4.41
51	2iwx	7.04
52	2j78	7.25
53	2j7h	6.82
54	2p15	9.36
55	2p4y	7.45
56	2pog	6.27
57	2qbp	8.61
58	2qbq	7.01
59	2qbr	5.96
60	2qe4	7.42
61	2qnq	6.3
62	2r9w	4.5
63	2v00	4.88
64	2v7a	6.64
65	2vkm	10.19
66	2vvn	6.55
67	2vw5	7.5
68	2w4x	4.74
69	2w66	5.33
70	2wbg	6.16
71	2wca	6.96
72	2weg	6.84
73	2wer	7.67
74	2wn9	6.88
75	2wnc	6.66
76	2wtv	8.12
77	2wvt	6.69
78	2x00	7.88
79	2xb8	5.91
80	2xbv	8.59
81	2xdl	6.13
82	2xii	8.82
83	2xj7	5.91
84	2xnb	7.23
85	2xys	7.24
86	2y5h	6.65
87	2yfe	6.19
88	2yge	4.72
89	2yki	9.4
90	2ymd	5.31
91	2zb1	7.2
92	2zcq	8.26
93	2zcr	6.71
94	2zda	6.83
95	2zy1	6.39
96	3acw	6.57
97	3ag9	7.77
98	3ao4	4.1
99	3arp	8.67
100	3arq	7.32
101	3aru	5.74
102	3arv	5.64
103	3ary	5.31
104	3b1m	8.88
105	3b27	5.59
106	3b5r	8.75
107	3b65	8.89
108	3b68	8.49
109	3bgz	5.73
110	3bv9	6.16
111	3cj4	4.89
112	3coy	6.63
113	3coz	5.54
114	3d4z	5.29
115	3d6q	3.82
116	3dd0	9.01
117	3dx1	3.69
118	3dx2	5.33
119	3dxg	3.65
120	3e5a	7.85
121	3e92	7.82
122	3e93	8.26
123	3ebp	5.43
124	3ehy	5.34
125	3ejr	7.67
126	3f3a	4.62
127	3f3c	6.31
128	3f3d	7.15
129	3f3e	7.03
130	3fcq	4.65
131	3fur	10.21
132	3fv1	11.4
133	3fv2	8.87
134	3g0w	9.7
135	3g2n	3.02
136	3g2z	3.35
137	3g31	4.27
138	3gbb	7.97
139	3gc5	7.3
140	3ge7	8.2
141	3gnw	8.88
142	3gr2	3.83
143	3gv9	4.14
144	3gy4	4.2
145	3ivg	5.13
146	3jvr	6.23
147	3jvs	6.7
148	3jya	6.42
149	3k5v	6.78
150	3kgp	2.85
151	3kr8	6.3
152	3kwa	4.97
153	3l7b	4.78
154	3lka	2.82
155	3mss	5.48
156	3myg	9.52
157	3n76	6.16
158	3n7a	5.58
159	3n86	6.49
160	3nq9	4.37
161	3nw9	8.0
162	3nx7	7.38
163	3o9i	11.53
164	3oe4	7.72
165	3oe5	7.11
166	3ozs	4.72
167	3ozt	4.32
168	3p5o	6.86
169	3prs	7.98
170	3pww	8.93
171	3pxf	5.11
172	3pyy	6.27
173	3qgy	7.52
174	3qqs	5.17
175	3r88	4.73
176	3rlr	7.97
177	3rr4	6.43
178	3rsx	5.15
179	3ryj	7.87
180	3syr	5.28
181	3tsk	5.63
182	3twp	3.81
183	3u5j	6.16
184	3u8k	7.65
185	3u8n	10.03
186	3u9q	4.34
187	3udh	4.19
188	3ueu	5.51
189	3uev	6.65
190	3uew	6.21
191	3uex	6.46
192	3ui7	6.71
193	3uo4	6.84
194	3up2	7.71
195	3uri	8.92
196	3utu	10.79
197	3uuo	6.22
198	3wtj	5.97
199	3wz8	7.24
200	3zdg	7.27
201	3zso	5.14
202	3zsx	4.66
203	3zt2	3.5
204	4abg	4.06
205	4agn	4.07
206	4agp	4.86
207	4agq	5.06
208	4bkt	4.3
209	4cig	4.34
210	4ciw	4.98
211	4cr9	4.43
212	4cra	7.67
213	4crc	9.06
214	4ddh	5.46
215	4ddk	2.92
216	4de1	5.4
217	4de2	4.57
218	4de3	5.46
219	4djv	7.31
220	4dld	6.43
221	4dli	6.22
222	4e5w	8.13
223	4e6q	7.42
224	4ea2	6.51
225	4eky	6.52
226	4eo8	7.41
227	4eor	7.15
228	4f09	6.5
229	4f2w	10.36
230	4f3c	11.44
231	4gfm	7.06
232	4gid	10.45
233	4gkm	5.7
234	4gr0	11.0
235	4hge	6.94
236	4ih5	4.29
237	4ih7	5.46
238	4ivb	8.77
239	4ivc	9.81
240	4ivd	9.79
241	4j21	6.74
242	4j28	6.96
243	4j3l	7.69
244	4jfs	6.48
245	4jia	7.97
246	4jsz	2.74
247	4jxs	5.46
248	4k18	8.54
249	4k77	6.0
250	4kz6	4.72
251	4kzq	5.36
252	4kzu	6.75
253	4llx	4.28
254	4lzs	5.5
255	4m0y	5.24
256	4m0z	6.72
257	4mgd	6.08
258	4mme	7.03
259	4ogj	6.37
260	4owm	3.49
261	4pcs	8.85
262	4qac	9.01
263	4qd6	7.78
264	4rfm	9.6
265	4tmn	10.29
266	4twp	9.11
267	4ty7	9.47
268	4u4s	6.73
269	4w9c	5.54
270	4w9h	6.53
271	4w9i	5.31
272	4w9l	6.38
273	4wiv	5.5
274	4x6p	9.48
275	5a7b	4.34
276	5aba	3.04
277	5c28	5.85
278	5c2h	8.45
279	5dwr	9.33
280	5tmn	9.07
