	#code	score
0	1a30	4.23
1	1bcu	3.55
2	1bzc	4.3
3	1c5z	5.22
4	1e66	9.56
5	1eby	8.89
6	1g2k	7.48
7	1gpk	4.62
8	1gpn	5.83
9	1h22	6.75
10	1h23	7.25
11	1k1i	6.56
12	1lpg	7.37
13	1mq6	9.38
14	1nc1	7.14
15	1nc3	7.81
16	1nvq	8.51
17	1o0h	6.64
18	1o3f	8.18
19	1o5b	7.15
20	1owh	7.38
21	1oyt	6.91
22	1p1n	7.1
23	1p1q	5.58
24	1ps3	2.81
25	1pxn	5.66
26	1q8t	5.44
27	1q8u	6.47
28	1qf1	6.69
29	1qkt	5.95
30	1r5y	6.58
31	1s38	5.05
32	1sqa	7.9
33	1syi	6.76
34	1u1b	10.54
35	1uto	4.05
36	1vso	5.67
37	1w4o	5.89
38	1y6r	8.87
39	1yc1	7.45
40	1ydr	5.96
41	1ydt	7.52
42	1z6e	9.53
43	1z95	6.68
44	1z9g	7.07
45	2al5	7.99
46	2br1	6.37
47	2brb	6.2
48	2c3i	7.49
49	2cbv	6.95
50	2cet	6.68
51	2fvd	8.56
52	2fxs	6.21
53	2hb1	4.83
54	2iwx	7.03
55	2j78	7.1
56	2j7h	6.12
57	2p15	8.71
58	2p4y	6.56
59	2pog	6.45
60	2qbp	7.22
61	2qbq	5.98
62	2qbr	6.12
63	2qe4	6.98
64	2qnq	6.18
65	2r9w	4.4
66	2v00	4.95
67	2v7a	6.85
68	2vkm	10.16
69	2vvn	5.87
70	2vw5	7.68
71	2w4x	4.88
72	2w66	5.25
73	2wbg	5.08
74	2wca	6.83
75	2weg	6.61
76	2wer	8.56
77	2wn9	6.74
78	2wnc	6.64
79	2wtv	7.82
80	2wvt	7.33
81	2x00	8.97
82	2xb8	4.73
83	2xbv	9.17
84	2xdl	5.75
85	2xii	8.42
86	2xj7	5.29
87	2xnb	6.04
88	2xys	7.48
89	2y5h	6.41
90	2yfe	6.45
91	2yge	4.3
92	2yki	8.75
93	2ymd	5.49
94	2zb1	6.87
95	2zcq	8.53
96	2zcr	7.74
97	2zda	6.99
98	2zy1	6.43
99	3acw	6.43
100	3ag9	9.3
101	3ao4	3.75
102	3arp	7.93
103	3arq	7.34
104	3aru	5.29
105	3arv	5.58
106	3ary	5.68
107	3b1m	8.23
108	3b27	6.29
109	3b5r	7.25
110	3b65	9.21
111	3b68	7.37
112	3bgz	6.07
113	3bv9	4.86
114	3cj4	5.84
115	3coy	6.05
116	3coz	4.43
117	3d4z	4.64
118	3d6q	4.18
119	3dd0	9.66
120	3dx1	1.96
121	3dx2	3.77
122	3dxg	4.01
123	3e5a	7.44
124	3e92	7.95
125	3e93	8.36
126	3ebp	5.65
127	3ehy	4.95
128	3ejr	6.93
129	3f3a	3.11
130	3f3c	6.12
131	3f3d	7.08
132	3f3e	6.59
133	3fcq	4.25
134	3fur	9.46
135	3fv1	10.59
136	3fv2	8.16
137	3g0w	9.3
138	3g2n	1.37
139	3g2z	3.06
140	3g31	4.32
141	3gbb	6.47
142	3gc5	8.07
143	3ge7	9.38
144	3gnw	8.73
145	3gr2	3.96
146	3gv9	3.74
147	3gy4	5.44
148	3ivg	4.3
149	3jvr	5.19
150	3jvs	6.62
151	3jya	6.19
152	3k5v	6.01
153	3kgp	2.99
154	3kr8	6.01
155	3kwa	4.69
156	3l7b	4.11
157	3lka	2.13
158	3mss	5.6
159	3myg	9.43
160	3n76	5.93
161	3n7a	6.32
162	3n86	6.34
163	3nq9	3.81
164	3nw9	5.94
165	3nx7	7.58
166	3o9i	12.15
167	3oe4	8.1
168	3oe5	7.8
169	3ozs	4.8
170	3ozt	4.15
171	3p5o	7.54
172	3prs	7.36
