     code  logKa  score
1    4llx   2.89   4.62
2    5c28   5.66   5.68
3    3uuo   7.96   5.87
4    3ui7   9.00   6.34
5    5c2h  11.09   7.30
6    2v00   3.66   5.10
7    3wz8   5.82   6.77
8    3pww   7.32   7.74
9    3prs   7.82   7.52
10   3uri   9.00   7.86
11   4m0z   5.19   6.26
12   4m0y   6.46   5.20
13   3qgy   7.80   6.61
14   4qd6   8.64   6.99
15   4rfm  10.05   7.97
16   4cr9   4.10   4.93
17   4cra   7.22   7.70
18   4x6p   8.30   8.67
19   4crc   8.72   8.34
20   4ty7   9.52   7.11
21   5aba   2.98   5.90
22   5a7b   3.57   5.59
23   4agn   3.97   3.79
24   4agp   4.69   4.50
25   4agq   5.01   4.61
26   3bgz   6.26   6.12
27   3jya   6.89   5.36
28   2c3i   7.60   6.62
29   4k18   8.96   7.80
30   5dwr  11.22   7.72
31   3mss   4.66   5.77
32   3k5v   6.30   6.22
33   3pyy   6.86   6.07
34   2v7a   8.30   6.93
35   4twp  10.00   8.14
36   3wtj   6.53   6.99
37   3zdg   7.10   6.30
38   3u8k   8.66   6.64
39   4qac   9.40   7.95
40   3u8n  10.17   7.87
41   1a30   4.30   5.31
42   2qnq   6.11   7.24
43   1g2k   7.96   8.59
44   3o9i  11.82  10.84
45   4lzs   4.80   5.11
46   3u5j   5.61   6.64
47   4wiv   6.26   6.15
48   4ogj   6.79   6.17
49   3p5o   7.30   6.90
50   1ps3   2.28   4.08
51   3dx1   3.58   5.35
52   3d4z   4.89   5.86
53   3dx2   6.82   6.73
54   3ejr   8.57   7.77
55   3l7b   2.40   4.82
56   4eky   3.52   6.97
57   3g2n   4.09   4.96
58   3syr   5.10   5.32
59   3ebp   5.91   7.46
60   2w66   4.05   5.80
61   2w4x   4.85   6.09
62   2wca   5.60   6.83
63   2xj7   6.66   5.63
64   2vvn   7.30   6.39
65   3aru   3.22   5.82
66   3arv   5.64   6.69
67   3ary   6.00   6.70
68   3arq   6.40   5.89
69   3arp   7.15   8.54
70   4ih5   4.11   4.87
71   4ih7   5.24   4.34
72   3cj4   6.51   6.20
73   4eo8   8.15   6.43
74   3gnw   9.10   8.46
75   1gpk   5.37   5.28
76   1gpn   6.48   6.40
77   1e66   9.89   8.11
78   3f3a   4.19   4.88
79   3f3c   6.02   5.79
80   4mme   6.50   6.73
81   3f3d   7.16   5.28
82   3f3e   7.70   5.27
83   2wbg   4.45   6.08
84   2cbv   5.48   6.75
85   2j78   6.42   4.82
86   2j7h   7.19   5.70
87   2cet   8.02   7.52
88   3udh   2.85   4.78
89   3rsx   4.41   5.36
90   4djv   6.72   7.35
91   2vkm   8.74   9.29
92   4gid  10.77   8.99
93   4jfs   5.27   5.07
94   4j28   5.70   5.64
95   2wvt   6.12   6.56
96   2xii   7.20   7.63
97   4pcs   7.85   7.23
98   3rr4   4.55   6.00
99   1s38   5.15   6.24
100  1r5y   6.46   5.37
101  3gc5   7.26   7.44
102  3ge7   8.70   7.36
103  4dli   5.62   6.41
104  2zb1   6.32   6.80
105  3e92   8.00   6.97
106  3e93   8.85   8.14
107  4owm   2.96   4.48
108  3twp   3.92   3.92
109  3r88   4.82   4.09
110  4gkm   5.17   5.74
111  3qqs   5.82   5.40
112  3gv9   2.12   3.45
113  3gr2   2.52   4.46
114  4kz6   3.10   4.73
115  4jxs   4.74   4.90
116  2r9w   5.10   4.49
117  2hb1   3.80   5.29
118  1bzc   4.92   5.32
119  2qbr   6.33   6.48
120  2qbq   7.44   6.85
121  2qbp   8.40   6.80
122  1q8t   4.76   5.41
123  1ydr   5.52   6.31
124  1q8u   5.96   6.75
125  1ydt   7.32   8.20
126  3ag9   8.05   7.57
127  3fcq   2.77   5.06
128  1z9g   5.64   5.47
129  1qf1   7.32   6.95
130  5tmn   8.04   7.10
131  4tmn  10.17   7.55
132  4ddk   2.29   4.45
133  4ddh   3.32   4.03
134  3ivg   4.30   5.38
135  3coz   5.57   5.62
136  3coy   6.02   5.86
137  3pxf   4.43   4.96
138  4eor   6.30   8.27
139  2xnb   6.83   6.69
140  1pxn   7.15   6.09
141  2fvd   8.52   7.79
142  4k77   6.63   5.86
143  4e5w   7.66   7.44
144  4ivb   8.72   7.32
145  4ivd   9.52   8.24
146  4ivc  10.00   9.45
147  4f09   6.70   6.12
148  4gfm   7.22   7.06
149  4hge   7.92   8.00
150  4e6q   8.36   6.15
151  4jia   9.22   6.55
152  2brb   4.86   6.46
153  2br1   5.14   6.35
154  3jvr   5.72   6.52
155  3jvs   6.54   5.94
156  1nvq   8.25   7.13
157  3acw   4.76   6.63
158  4ea2   6.44   6.54
159  2zcr   6.87   7.41
160  2zy1   7.40   5.42
161  2zcq   8.82   8.66
162  1bcu   3.28   4.17
163  3bv9   5.36   6.55
164  1oyt   7.24   6.73
165  2zda   8.40   6.57
166  3utu  10.92   9.70
167  3u9q   4.38   4.79
168  2yfe   6.63   5.94
169  3fur   8.00   8.87
170  3b1m   8.48   8.33
171  2p4y   9.00   6.76
172  3uo4   6.52   7.28
173  3up2   7.40   7.21
174  3e5a   8.23   7.58
175  2wtv   8.74   6.98
176  3myg  10.70   7.12
177  3kgp   2.57   3.77
178  1c5z   4.01   5.20
179  1o5b   5.77   6.31
180  1owh   7.40   5.31
181  1sqa   9.21   6.72
182  4jsz   2.30   4.85
183  3kwa   4.08   4.16
184  2weg   6.50   8.06
185  3ryj   7.80   8.54
