     code  logKa  score
1    4llx   2.89   3.98
2    5c28   5.66   5.51
3    3uuo   7.96   5.61
4    3ui7   9.00   6.53
5    5c2h  11.09   8.41
6    2v00   3.66   4.78
7    3wz8   5.82   7.60
8    3pww   7.32   8.89
9    3prs   7.82   8.51
10   3uri   9.00   8.74
11   4m0z   5.19   7.13
12   4m0y   6.46   4.98
13   3qgy   7.80   7.07
14   4qd6   8.64   7.09
15   4rfm  10.05   8.40
16   4cr9   4.10   4.73
17   4cra   7.22   7.19
18   4x6p   8.30   9.80
19   4crc   8.72   9.29
20   4ty7   9.52   9.11
21   5aba   2.98   3.52
22   5a7b   3.57   5.57
23   4agn   3.97   3.40
24   4agp   4.69   5.39
25   4agq   5.01   5.71
26   3bgz   6.26   5.93
27   3jya   6.89   6.45
28   2c3i   7.60   7.54
29   4k18   8.96   8.90
30   5dwr  11.22   8.40
31   3mss   4.66   5.89
32   3k5v   6.30   7.24
33   3pyy   6.86   6.15
34   2v7a   8.30   6.80
35   4twp  10.00   9.68
36   3wtj   6.53   5.84
37   3zdg   7.10   6.42
38   3u8k   8.66   7.00
39   4qac   9.40   7.83
40   3u8n  10.17   9.45
41   1a30   4.30   4.76
42   2qnq   6.11   6.18
43   1g2k   7.96   8.65
44   1eby   9.70   9.47
45   3o9i  11.82  13.19
46   4lzs   4.80   5.55
47   3u5j   5.61   6.05
48   4wiv   6.26   5.90
49   4ogj   6.79   5.98
50   3p5o   7.30   7.40
51   1ps3   2.28   3.64
52   3dx1   3.58   4.78
53   3d4z   4.89   5.17
54   3dx2   6.82   7.74
55   3ejr   8.57   8.80
56   3l7b   2.40   4.34
57   4eky   3.52   6.31
58   3g2n   4.09   4.03
59   3syr   5.10   4.87
60   3ebp   5.91   6.60
61   2w66   4.05   4.45
62   2w4x   4.85   4.94
63   2wca   5.60   6.90
64   2xj7   6.66   5.85
65   2vvn   7.30   6.61
66   3aru   3.22   6.18
67   3arv   5.64   5.78
68   3ary   6.00   6.50
69   3arq   6.40   8.12
70   3arp   7.15   9.03
71   4ih5   4.11   4.62
72   4ih7   5.24   4.64
73   3cj4   6.51   5.85
74   4eo8   8.15   7.16
75   3gnw   9.10   7.47
76   1gpk   5.37   5.44
77   1gpn   6.48   6.24
78   1h23   8.35   8.21
79   1h22   9.10   7.90
80   1e66   9.89   8.62
81   3f3a   4.19   4.67
82   3f3c   6.02   6.86
83   4mme   6.50   6.76
84   3f3d   7.16   6.71
85   3f3e   7.70   6.62
86   2wbg   4.45   6.08
87   2cbv   5.48   5.37
88   2j78   6.42   5.99
89   2j7h   7.19   5.79
90   2cet   8.02   6.97
91   3udh   2.85   5.05
92   3rsx   4.41   5.04
93   4djv   6.72   6.57
94   2vkm   8.74  10.92
95   4gid  10.77  10.12
96   4jfs   5.27   7.05
97   4j28   5.70   6.25
98   2wvt   6.12   6.75
99   2xii   7.20   9.24
100  4pcs   7.85   8.84
101  3rr4   4.55   6.21
102  1s38   5.15   5.95
103  1r5y   6.46   6.05
104  3gc5   7.26   6.46
105  3ge7   8.70   7.79
106  4dli   5.62   6.02
107  2zb1   6.32   6.69
108  4f9w   6.94   6.93
109  3e92   8.00   8.10
110  3e93   8.85   7.86
111  4owm   2.96   3.56
112  3twp   3.92   3.56
113  3r88   4.82   4.65
114  4gkm   5.17   5.94
115  3qqs   5.82   4.92
116  3gv9   2.12   4.24
117  3gr2   2.52   4.69
118  4kz6   3.10   4.79
119  4jxs   4.74   5.66
120  2r9w   5.10   4.16
121  2hb1   3.80   5.48
122  1bzc   4.92   4.40
123  2qbr   6.33   6.42
124  2qbq   7.44   7.79
125  2qbp   8.40   8.33
126  1q8t   4.76   5.33
127  1ydr   5.52   5.30
128  1q8u   5.96   6.57
129  1ydt   7.32   7.15
130  3ag9   8.05   8.77
131  3fcq   2.77   4.86
132  1z9g   5.64   6.64
133  1qf1   7.32   7.78
134  5tmn   8.04   9.29
135  4tmn  10.17  10.10
136  4ddk   2.29   3.72
137  4ddh   3.32   4.64
138  3ivg   4.30   5.55
139  3coz   5.57   5.63
140  3coy   6.02   6.52
141  3pxf   4.43   4.30
142  4eor   6.30   8.14
143  2xnb   6.83   6.86
144  1pxn   7.15   6.27
145  2fvd   8.52   8.45
146  4k77   6.63   5.95
147  4e5w   7.66   7.25
148  4ivb   8.72   8.92
149  4ivd   9.52  10.07
150  4ivc  10.00  10.27
151  4f09   6.70   6.42
152  4gfm   7.22   8.03
153  4hge   7.92   6.93
154  4e6q   8.36   6.95
155  4jia   9.22   8.71
156  2brb   4.86   6.38
157  2br1   5.14   6.33
158  3jvr   5.72   5.99
159  3jvs   6.54   6.75
160  1nvq   8.25   7.68
161  3acw   4.76   6.45
162  4ea2   6.44   8.25
163  2zcr   6.87   7.05
164  2zy1   7.40   6.92
165  2zcq   8.82   8.31
166  1bcu   3.28   3.77
167  3bv9   5.36   6.35
168  1oyt   7.24   7.32
169  2zda   8.40   7.29
170  3utu  10.92  11.63
171  3u9q   4.38   5.06
172  2yfe   6.63   6.42
173  3fur   8.00   8.87
174  3b1m   8.48   8.90
175  2p4y   9.00   6.23
176  3uo4   6.52   6.86
177  3up2   7.40   7.05
178  3e5a   8.23   7.70
179  2wtv   8.74   8.32
180  3myg  10.70   9.14
181  3kgp   2.57   3.57
182  1c5z   4.01   4.70
183  1o5b   5.77   5.46
184  1owh   7.40   7.06
185  1sqa   9.21   7.43
186  4jsz   2.30   2.42
187  3kwa   4.08   5.36
188  2weg   6.50   6.55
189  3ryj   7.80   7.89
190  3dd0   9.00   8.80
191  2xdl   3.10   5.71
192  3b27   5.16   6.17
193  1yc1   6.17   7.91
194  3rlr   7.52   8.71
195  2yki   9.46   9.39
196  1z95   7.12   8.90
197  3b68   8.40   8.18
198  3b5r   8.77   8.69
199  3b65   9.27   8.50
