     code  logKa  score
1    4llx   2.89   4.53
2    5c28   5.66   5.37
3    3uuo   7.96   5.89
4    3ui7   9.00   6.15
5    5c2h  11.09   6.76
6    2v00   3.66   5.99
7    3wz8   5.82   7.55
8    3pww   7.32   8.04
9    3prs   7.82   8.48
10   3uri   9.00   7.96
11   4m0z   5.19   6.62
12   4m0y   6.46   5.53
13   3qgy   7.80   7.04
14   4qd6   8.64   6.63
15   4rfm  10.05   8.57
16   4cr9   4.10   4.39
17   4cra   7.22   7.99
18   4x6p   8.30   9.05
19   4crc   8.72   8.67
20   4ty7   9.52   6.05
21   5aba   2.98   7.48
22   5a7b   3.57   7.03
23   4agn   3.97   4.44
24   4agp   4.69   4.87
25   4agq   5.01   4.64
26   3bgz   6.26   6.54
27   3jya   6.89   5.60
28   2c3i   7.60   6.78
29   4k18   8.96   7.44
30   5dwr  11.22   6.85
31   3mss   4.66   6.09
32   3k5v   6.30   7.15
33   3pyy   6.86   6.56
34   2v7a   8.30   6.53
35   4twp  10.00   7.63
36   3wtj   6.53   5.71
37   3zdg   7.10   6.33
38   3u8k   8.66   6.55
39   4qac   9.40   7.49
40   3u8n  10.17   8.07
41   1a30   4.30   6.75
42   2qnq   6.11   7.80
43   1g2k   7.96   9.24
44   1eby   9.70  10.01
45   3o9i  11.82  11.67
46   4lzs   4.80   5.14
47   3u5j   5.61   6.62
48   4wiv   6.26   6.60
49   4ogj   6.79   6.08
50   3p5o   7.30   7.21
51   1ps3   2.28   4.31
52   3dx1   3.58   6.37
53   3d4z   4.89   6.37
54   3dx2   6.82   8.06
55   3ejr   8.57   8.26
56   3l7b   2.40   4.21
57   4eky   3.52   7.52
58   3g2n   4.09   5.11
59   3syr   5.10   5.84
60   3ebp   5.91   6.89
61   2w66   4.05   6.18
62   2w4x   4.85   5.22
63   2wca   5.60   6.34
64   2xj7   6.66   6.80
65   2vvn   7.30   6.69
66   3aru   3.22   5.79
67   3arv   5.64   6.42
68   3ary   6.00   6.04
69   3arq   6.40   6.48
70   3arp   7.15   8.46
71   4ih5   4.11   4.85
72   4ih7   5.24   5.24
73   3cj4   6.51   4.84
74   4eo8   8.15   6.90
75   3gnw   9.10   7.97
76   1gpk   5.37   5.63
77   1gpn   6.48   6.56
78   1h23   8.35   8.67
79   1h22   9.10   8.45
80   1e66   9.89   7.14
81   3f3a   4.19   4.88
82   3f3c   6.02   4.33
83   4mme   6.50   5.92
84   3f3d   7.16   4.87
85   3f3e   7.70   4.16
86   2wbg   4.45   7.48
87   2cbv   5.48   7.11
88   2j78   6.42   5.69
89   2j7h   7.19   6.12
90   2cet   8.02   8.79
91   3udh   2.85   5.37
92   3rsx   4.41   5.97
93   4djv   6.72   7.27
94   2vkm   8.74   8.83
95   4gid  10.77   9.10
96   4jfs   5.27   6.08
97   4j28   5.70   5.58
98   2wvt   6.12   6.61
99   2xii   7.20   8.62
100  4pcs   7.85   7.76
101  3rr4   4.55   5.72
102  1s38   5.15   6.54
103  1r5y   6.46   5.74
104  3gc5   7.26   8.10
105  3ge7   8.70   7.71
106  4dli   5.62   6.26
107  2zb1   6.32   7.17
108  4f9w   6.94   6.34
109  3e92   8.00   7.44
110  3e93   8.85   8.27
111  4owm   2.96   4.31
112  3twp   3.92   4.04
113  3r88   4.82   4.34
114  4gkm   5.17   5.51
115  3qqs   5.82   5.69
116  3gv9   2.12   4.32
117  3gr2   2.52   4.74
118  4kz6   3.10   4.84
119  4jxs   4.74   5.16
120  2r9w   5.10   5.23
121  2hb1   3.80   5.46
122  1bzc   4.92   4.90
123  2qbr   6.33   6.68
124  2qbq   7.44   7.10
125  2qbp   8.40   6.82
126  1q8t   4.76   5.44
127  1ydr   5.52   6.34
128  1q8u   5.96   6.59
129  1ydt   7.32   7.19
130  3ag9   8.05   7.16
131  3fcq   2.77   6.12
132  1z9g   5.64   5.99
133  1qf1   7.32   7.68
134  5tmn   8.04   7.06
135  4tmn  10.17   6.69
136  4ddk   2.29   4.96
137  4ddh   3.32   5.32
138  3ivg   4.30   6.32
139  3coz   5.57   5.72
140  3coy   6.02   6.81
141  3pxf   4.43   5.96
142  4eor   6.30   8.48
143  2xnb   6.83   6.82
144  1pxn   7.15   5.66
145  2fvd   8.52   7.07
146  4k77   6.63   6.10
147  4e5w   7.66   6.18
148  4ivb   8.72   7.55
149  4ivd   9.52   8.20
150  4ivc  10.00   7.79
151  4f09   6.70   5.95
152  4gfm   7.22   6.69
153  4hge   7.92   7.67
154  4e6q   8.36   6.35
155  4jia   9.22   6.46
156  2brb   4.86   6.63
157  2br1   5.14   6.49
158  3jvr   5.72   7.55
159  3jvs   6.54   5.15
160  1nvq   8.25   7.27
161  3acw   4.76   6.69
162  4ea2   6.44   6.32
163  2zcr   6.87   6.91
164  2zy1   7.40   5.46
165  2zcq   8.82   6.22
166  1bcu   3.28   4.81
167  3bv9   5.36   6.40
168  1oyt   7.24   7.08
169  2zda   8.40   6.89
170  3utu  10.92   9.53
171  3u9q   4.38   5.10
172  2yfe   6.63   6.23
173  3fur   8.00   8.16
174  3b1m   8.48   8.56
175  2p4y   9.00   8.56
176  3uo4   6.52   7.45
177  3up2   7.40   6.80
178  3e5a   8.23   7.11
179  2wtv   8.74   7.19
180  3myg  10.70   6.50
181  3kgp   2.57   3.79
182  1c5z   4.01   4.84
183  1o5b   5.77   7.05
184  1owh   7.40   5.42
185  1sqa   9.21   6.78
186  4jsz   2.30   5.95
187  3kwa   4.08   4.10
188  2weg   6.50   6.21
189  3ryj   7.80   7.93
190  3dd0   9.00   9.79
191  2xdl   3.10   5.61
192  3b27   5.16   6.23
193  1yc1   6.17   6.48
194  3rlr   7.52   7.19
195  2yki   9.46   9.00
196  1z95   7.12   9.41
197  3b68   8.40   9.39
198  3b5r   8.77   9.82
199  3b65   9.27   8.90
200  3g0w   9.52   8.86
201  4u4s   2.92   6.23
202  1p1q   4.89   6.21
203  1syi   5.44   6.92
204  1p1n   6.80   6.96
205  2al5   8.40   6.62
206  3g2z   2.36   4.29
207  3g31   2.89   4.38
208  4de2   4.12   5.19
209  4de3   5.52   4.58
210  4de1   5.96   5.58
211  1vso   4.72   6.00
212  4dld   5.82   6.74
213  3gbb   6.90   7.79
214  3fv2   8.11   8.39
215  3fv1   9.30   8.86
216  4mgd   4.69   6.39
217  2qe4   7.96   6.75
218  1qkt   9.04   6.12
219  2pog   9.54   6.67
220  2p15  10.30   7.72
221  2y5h   5.79   6.82
222  1lpg   7.09   9.31
223  2xbv   8.43  10.12
224  1z6e   9.72   8.23
225  1mq6  11.15   8.59
226  1nc3   5.00   8.53
227  1nc1   6.12   8.30
228  1y6r  10.11   9.08
229  4f2w  11.30   9.09
230  4f3c  11.82  10.29
231  1uto   2.27   4.27
232  4abg   3.57   4.01
233  3gy4   5.10   4.48
234  1k1i   6.58   6.07
235  1o3f   7.96   6.56
236  2yge   5.06   4.87
237  2fxs   6.06   5.38
238  2iwx   6.68   7.14
239  2wer   7.05   6.22
240  2vw5   8.52   5.99
241  4kzq   6.10   6.30
242  4kzu   6.50   6.64
243  4j21   7.41   7.65
244  4j3l   7.80   7.79
245  3kr8   8.10   7.33
246  2ymd   3.16   5.82
247  2wnc   6.32   6.82
248  2xys   7.42   7.11
249  2wn9   8.52   6.07
250  2x00  11.33   7.93
251  3ozt   4.13   4.92
252  3ozs   5.33   5.24
253  3oe5   6.88   5.68
254  3oe4   7.47   5.66
255  3nw9   9.00   7.64
256  3ao4   2.07   5.52
257  3zt2   2.84   5.22
258  3zsx   3.28   5.93
259  4cig   3.67   5.96
260  3zso   5.12   6.35
261  3n7a   3.70   5.44
262  4ciw   4.82   5.02
263  3n86   5.64   7.76
264  3n76   6.85   6.95
265  2xb8   7.59   7.09
266  4bkt   3.62   4.81
267  4w9c   4.65   6.15
268  4w9l   5.02   6.13
269  4w9i   5.96   6.25
270  4w9h   6.73   6.51
271  3nq9   4.03   4.46
272  3ueu   5.24   5.55
273  3uev   5.89   5.97
274  3uew   6.31   6.28
275  3uex   6.92   6.09
276  3lka   2.82   5.47
277  3ehy   5.85   6.10
278  3tsk   7.17   6.65
