     code  logKa  score
1    4llx   2.89   4.31
2    5c28   5.66   5.22
3    3uuo   7.96   5.84
4    3ui7   9.00   6.16
5    5c2h  11.09   6.92
6    2v00   3.66   5.87
7    3wz8   5.82   7.25
8    3pww   7.32   8.23
9    3prs   7.82   7.99
10   3uri   9.00   7.62
11   4m0z   5.19   6.52
12   4m0y   6.46   5.07
13   3qgy   7.80   7.05
14   4qd6   8.64   6.89
15   4rfm  10.05   7.93
16   4cr9   4.10   3.60
17   4cra   7.22   8.07
18   4x6p   8.30   8.59
19   4crc   8.72   8.58
20   4ty7   9.52   6.04
21   5aba   2.98   6.29
22   5a7b   3.57   6.34
23   4agn   3.97   4.28
24   4agp   4.69   5.21
25   4agq   5.01   4.91
26   3bgz   6.26   5.87
27   3jya   6.89   5.34
28   2c3i   7.60   6.78
29   4k18   8.96   6.91
30   5dwr  11.22   6.86
31   3mss   4.66   5.96
32   3k5v   6.30   6.84
33   3pyy   6.86   6.54
34   2v7a   8.30   6.50
35   4twp  10.00   7.63
36   3wtj   6.53   6.34
37   3zdg   7.10   6.37
38   3u8k   8.66   6.51
39   4qac   9.40   8.07
40   3u8n  10.17   7.21
41   1a30   4.30   5.52
42   2qnq   6.11   7.67
43   1g2k   7.96   8.76
44   1eby   9.70   9.29
45   3o9i  11.82  10.94
46   4lzs   4.80   5.11
47   3u5j   5.61   6.56
48   4wiv   6.26   6.33
49   4ogj   6.79   6.48
50   3p5o   7.30   6.93
51   1ps3   2.28   4.36
52   3dx1   3.58   6.53
53   3d4z   4.89   5.52
54   3dx2   6.82   7.90
55   3ejr   8.57   7.74
56   3l7b   2.40   5.14
57   4eky   3.52   5.55
58   3g2n   4.09   5.31
59   3syr   5.10   6.02
60   3ebp   5.91   6.32
61   2w66   4.05   5.53
62   2w4x   4.85   4.73
63   2wca   5.60   6.54
64   2xj7   6.66   5.89
65   2vvn   7.30   7.11
66   3aru   3.22   6.07
67   3arv   5.64   6.64
68   3ary   6.00   5.45
69   3arq   6.40   6.52
70   3arp   7.15   9.08
71   4ih5   4.11   4.88
72   4ih7   5.24   5.33
73   3cj4   6.51   5.34
74   4eo8   8.15   6.38
75   3gnw   9.10   7.42
76   1gpk   5.37   5.63
77   1gpn   6.48   6.70
78   1h23   8.35   8.62
79   1h22   9.10   8.42
80   1e66   9.89   8.32
81   3f3a   4.19   5.63
82   3f3c   6.02   5.81
83   4mme   6.50   6.53
84   3f3d   7.16   5.77
85   3f3e   7.70   5.63
86   2wbg   4.45   7.05
87   2cbv   5.48   6.08
88   2j78   6.42   5.88
89   2j7h   7.19   5.86
90   2cet   8.02   7.71
91   3udh   2.85   5.12
92   3rsx   4.41   6.81
93   4djv   6.72   7.05
94   2vkm   8.74   9.50
95   4gid  10.77   8.48
96   4jfs   5.27   6.46
97   4j28   5.70   6.37
98   2wvt   6.12   5.96
99   2xii   7.20   8.67
